99,99,91,108,96,125,99,99,91,
99,99,99,99,105,155,99,99,99,99,
94,99,99,99,99,91,99,99,99,99,
89,97,84,99,93,94,99,94,98,99,
99,99,97,92,89,96,88,90,89,99,
99,129,93,89,85,94,95,125,114,92,
92,136,84,108,99,99,99,99,93,99,
99,99,99,92,99,99,99,99,90,140,
90,99,99,99,88,98,99,99,87,99,
86,99,99,91,99,99,99,99,95,99,
99,99,175,91,99,99,99,99,147,96,
91,92,128,99,89,99,99,91,93,99,
95,91,99,89,99,99,89,99,99,99,
99,94,98,99,99,90,98,99,99,92,
99,99,85,87,96,97,161,104,142,98,
85,93,104,138,82,90,99,91,99,99,
99,99,87,99,99,99,99,92,99,99,
99,88,173,99,94,98,99,86,84,86,
99,99,86,99,99,99,95,99,99,83,
114,93,99,99,99,86,99,99,88,99,
99,91,83,85,90,165,98,88,99,98,
99,89,99,99,96,96,99,99,99,95,
96,99,99,89,99,85,99,99,99,98,
91,99,99,98,90,99,88,99,82,87,
122,99,99,99,91,99,99,99,99,89,
99,99,99,99,82,99,90,91,96,99,
85,99,87,99,99,99,99,89,97,91,
99,98,87,89,96,94,98,99,91,99,
99,99,99,91,99,99,99,99,89,99,
99,99,99,93,99,99,98,92,99,97,
90,99,99,99,99,87,99,99,99,99,
92,85,99,99,99,99,84,82,116,99,
99,91,99,99,99,99,93,95,99,99,
99,94,98,99,99,99,96,90,99,99,
99,97,97,99,99,99,96,92,99,99,
99,90,99,99,99,99,93,99,99,99,
99,90,99,99,99,99,89,99,99,99,
99,87,99,99,99,99,93,99,99,99,
99,92,99,99,99,88,99,99,99,87,
99,99,99,99,87,99,99,99,99,95,
99,99,99,87,90,88,125,99,99,92,
94,99,100,99,93,93,99,87,111,94,
94,99,89,99,99,99,90,99,99,99,
99,92,99,99,99,91,99,99,99,99,
91,99,99,99,99,92,99,99,99,99,
90,99,99,99,99,91,99,99,99,99,
90,99,99,99,99,91,99,99,99,99,
93,99,99,99,99,89,99,99,99,99,
90,98,98,99,89,95,99,92,86,86,
84,172,160,87,93,88,99,85,88,96,
85,114,124,99,84,94,114,96,94,100,
99,99,89,99,99,99,99,89,99,99,
99,99,91,99,99,99,99,86,98,99,
101,97,97,156,86,99,85,99,99,88,
99,88,83,101,86,98,92,99,88,99,
91,143,88,100,99,87,98,137,135,114,
98,99,87,99,99,96,87,95,99,99,
99,95,91,99,99,90,99,100,99,88,
99,99,85,99,89,99,99,99,99,92,
99,99,87,99,99,99,87,99,99,99,
99,89,100,99,110,127,84,96,92,128,
109,99,99,99,93,99,99,99,95,97,
99,99,99,95,88,99,99,99,99,89,
99,99,99,92,99,99,99,95,99,99,
99,99,91,99,99,99,99,93,99,157,
99,99,100,93,99,99,99,99,95,95,
99,99,99,99,89,99,99,82,114,89,
99,89,127,99,99,94,99,97,91,99,
99,99,99,177,99,99,99,93,99,99,
87,102,98,99,87,99,99,97,93,99,
99,99,98,88,99,99,99,97,88,99,
99,99,99,95,99,99,99,88,99,99,
99,91,98,99,99,90,82,116,99,99,
93,99,99,99,99,91,99,99,99,99,
145,84,107,97,99,99,99,97,98,99,
99,99,84,162,89,93,120,95,93,91,
149,99,99,99,89,85,99,99,99,91,
99,99,99,99,88,99,99,88,99,99,
89,99,99,99,99,91,99,99,99,87,
99,89,171,87,98,88,99,99,99,99,
92,99,99,99,99,93,99,99,99,99,
93,83,86,99,89,99,99,99,99,88,
99,99,99,89,97,99,91,82,99,99,
99,86,99,99,99,97,92,94,94,99,
99,99,98,95,99,99,99,98,94,114,
92,152,99,99,91,99,99,99,91,167,
99,99,99,99,90,99,99,99,99,166,
99,99,93,97,99,99,94,99,99,99,
99,86,99,99,93,94,99,99,99,97,
93,99,99,99,97,89,88,99,90,91,
98,99,167,91,99,92,134,82,88,100,
93,124,99,99,99,86,99,99,125,135,
98,99,98,88,83,112,93,99,99,99,
86,98,93,99,99,99,99,89,116,99,
99,148,91,93,118,146,92,99,99,99,
99,93,99,82,94,94,82,91,123,105,
132,99,98,154,119,91,97,100,99,99,
91,93,99,88,99,99,99,92,96,98,
99,99,92,99,99,96,87,99,98,94,
98,99,100,92,98,99,99,89,98,98,
94,99,99,98,85,85,99,99,90,98,
98,95,97,99,92,
